>NC_002516.2 Pseudomonas aeruginosa PAO1 chromosome, complete genome
>NZ_CP029094.1 Pseudomonas aeruginosa strain AR441 plasmid unnamed3, complete sequence
>NZ_CP029088.1 Pseudomonas aeruginosa strain AR445 chromosome, complete genome
>NZ_CP029090.1 Pseudomonas aeruginosa strain AR442 chromosome, complete genome
>NZ_CP029097.1 Pseudomonas aeruginosa strain AR439 chromosome, complete genome
>NZ_CP029095.1 Pseudomonas aeruginosa strain AR439 plasmid unnamed1
>NZ_CP029096.1 Pseudomonas aeruginosa strain AR439 plasmid unnamed2, complete sequence
>NZ_CP029482.1 Pseudomonas sp. 31-12 chromosome, complete genome
>NZ_CP029660.1 Pseudomonas aeruginosa strain AR_0446 chromosome, complete genome
>NZ_CP023255.1 Pseudomonas aeruginosa strain CCUG 70744 chromosome, complete genome
>NZ_CP029745.1 Pseudomonas aeruginosa strain AR_0110 chromosome, complete genome
>NZ_CP029772.1 Pseudomonas sp. R2A2 chromosome, complete genome
>NZ_CP029707.1 Pseudomonas aeruginosa strain K34-7 chromosome, complete genome
>NZ_CP029708.1 Pseudomonas aeruginosa strain K34-7 plasmid pK34-7-1, complete sequence
>NZ_CP029693.1 Pseudomonas putida strain JBC17 chromosome, complete genome
>NZ_CP030351.1 Pseudomonas aeruginosa strain AR_460 chromosome, complete genome
>NZ_CP030328.1 Pseudomonas aeruginosa strain AR_455 chromosome, complete genome
>NZ_CP030327.1 Pseudomonas aeruginosa strain AR_458 chromosome, complete genome
>NZ_CP029983.1 Pseudomonas sp. LG1E9 chromosome, complete genome
>NZ_CP030750.1 Pseudomonas putida strain NX-1 chromosome, complete genome
>NZ_CP030861.1 Pseudomonas aeruginosa strain HS9 chromosome, complete genome
>NZ_CP032552.1 Pseudomonas aeruginosa strain PA34 chromosome, complete genome
>NZ_CP029608.1 Pseudomonas kribbensis strain 46-2 chromosome, complete genome
>NZ_CP031396.1 Pseudomonas protegens strain FD6 chromosome, complete genome
>NZ_CP030913.1 Pseudomonas aeruginosa strain Y89 chromosome, complete genome
>NZ_CP030914.1 Pseudomonas aeruginosa strain Y89 plasmid pY89, complete sequence
>NZ_CP030912.1 Pseudomonas aeruginosa strain Y82 chromosome, complete genome
>NZ_CP030910.1 Pseudomonas aeruginosa strain Y31 chromosome, complete genome
>NZ_CP031146.1 Pseudomonas plecoglossicida strain XSDHY-P chromosome, complete genome
>NZ_CP030911.1 Pseudomonas aeruginosa strain Y71 chromosome, complete genome
>NZ_CP031606.1 Pseudomonas sp. phDV1 chromosome, complete genome
>NZ_CP031641.1 Pseudomonas parafulva strain JBCS1880 chromosome, complete genome
>NZ_CP031648.1 Pseudomonas fluorescens strain Pf275 chromosome, complete genome
>NZ_CP031659.1 Pseudomonas aeruginosa strain PABL012 chromosome, complete genome
>NZ_CP031660.1 Pseudomonas aeruginosa strain PABL017 chromosome, complete genome
>NZ_CP029605.1 Pseudomonas aeruginosa strain 24Pae112 chromosome, complete genome
>NZ_CP012901.1 Pseudomonas aeruginosa strain N15-01092, complete sequence
>NZ_CP032257.1 Pseudomonas aeruginosa strain AR_0111 chromosome, complete genome
>NZ_CP032256.1 Pseudomonas aeruginosa strain AR_0111 plasmid unnamed, complete sequence
>NZ_CP032419.1 Pseudomonas sp. K2W31S-8 chromosome, complete genome
>NZ_CP031450.1 Pseudomonas fluorescens strain SIK_W1 chromosome, complete genome
>NZ_CP032616.1 Pseudomonas sp. DY-1 chromosome, complete genome
>NZ_CP032615.1 Pseudomonas sp. DY-1 plasmid p.1, complete sequence
>NZ_CP032618.1 Pseudomonas fluorescens strain PF08 chromosome, complete genome
>NZ_CP032677.1 Pseudomonas sp. Leaf58 chromosome, complete genome
>NZ_CP032678.1 Pseudomonas sp. Leaf58 plasmid pBASL58, complete sequence
>NZ_CP032761.1 Pseudomonas aeruginosa strain 268 chromosome, complete genome
>NZ_CP022561.1 Pseudomonas putida strain B4 chromosome, complete genome
>NZ_CP022562.1 Pseudomonas monteilii strain B5 chromosome, complete genome
>NZ_CP022563.1 Pseudomonas monteilii strain B5 plasmid pSH5-1, complete sequence
>NZ_LN870292.1 Pseudomonas aeruginosa DK1 genome assembly Pseudomonas aeruginosa DK1 substr. NH57388A, chromosome : I
>NZ_LN871187.1 Pseudomonas aeruginosa genome assembly PAO1OR, chromosome : I
>NZ_LT222319.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, chromosome: 1
>NZ_LT222313.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T1
>NZ_LT222314.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T2
>NZ_LT222315.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T3
>NZ_LT222316.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T4
>NZ_LT222317.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T5
>NZ_LT222318.1 Pseudomonas sp. 58 isolate Sour cherry (Prunus cerasus) symptomatic leaf genome assembly, plasmid: p58T6
>NZ_LT608330.1 Pseudomonas aeruginosa isolate PA14Or_reads genome assembly, chromosome: PA14OR
>NZ_LT673656.1 Pseudomonas aeruginosa isolate PcyII-10 genome assembly, chromosome: PcyII-10
>NZ_LT855380.1 Pseudomonas viridiflava strain CFBP 1590 genome assembly, chromosome: I
>NZ_LT883143.1 Pseudomonas aeruginosa C-NN2 isolate early isolate NN2 (clone C) genome assembly, chromosome: I
>NZ_LT963395.1 Pseudomonas cerasi isolate PL963 genome assembly, chromosome: 1
>NZ_LT963396.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP1
>NZ_LT963397.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP2
>NZ_LT963398.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP3
>NZ_LT963399.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP4
>NZ_LT963400.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP5
>NZ_LT963401.1 Pseudomonas cerasi isolate PL963 genome assembly, plasmid: PP6
>NZ_LT969519.1 Pseudomonas aeruginosa isolate RW109 genome assembly, plasmid: 1
>NZ_LT969521.1 Pseudomonas aeruginosa isolate RW109 genome assembly, plasmid: 2
>NZ_LT969520.1 Pseudomonas aeruginosa isolate RW109 genome assembly, chromosome: Mainomosome
>NZ_LS483372.1 Pseudomonas fluorescens strain NCTC10038 genome assembly, chromosome: 1
>NZ_LS483370.1 Pseudomonas taetrolens strain NCTC10697 genome assembly, chromosome: 1
>NZ_LS483433.1 Pseudomonas mucidolens strain NCTC8068 genome assembly, chromosome: 1
