,AmgR,ArcZ,C0664,ChiX,CsrB,CsrC,CyaR,DapZ,DsrA,FnrS,GcvB,GlmY,GlmZ,InvR,IsrA,IsrB‑1,IsrB‑2,IsrC,IsrD,IsrF,IsrG,IsrH_1_2,IsrI,IsrJ,IsrK,IsrL,IsrM,IsrN,IsrO,IsrP,IsrQ,IstR‑1_2,MgrR,MicA,MicC,MicF,OmrA,OmrB,OxyS,RprA,RseX,RybA,RybB,RybD,RydB,RydC,RyeC,RyeF,RyfA,RygC,RygD,RyhB‑1,RyhB‑2,RyjB,SdsR,SgrS,Spf,SraA,SraB,SraC,SraF,SraG,SraL,sRNA1,sRNA10,sRNA12,sRNA3,sRNA9,SroA,SroC,SroG,SsrS,STnc070,STnc1010,STnc1030,STnc1040,STnc1060,STnc1080,STnc1090,STnc1110,STnc1130,STnc1150,STnc1160,STnc1170,STnc1180,STnc1200,STnc1210,STnc1220,STnc1270,STnc1280,STnc1290,STnc1300,STnc1310,STnc1320,STnc1330,STnc1340,STnc1380,STnc1390,STnc1400,STnc1410,STnc1420,STnc1430,STnc1460,STnc1470,STnc1480,STnc150,STnc1500,STnc1510,STnc1530,STnc1540,STnc1550,STnc1560,STnc1590,STnc1600,STnc1640,STnc1650,STnc1660,STnc1670,STnc1690,STnc1700,STnc1710,STnc1740,STnc1760,STnc1820,STnc1830,STnc1860,STnc1870,STnc1880,STnc1890,STnc1920,STnc1990,STnc200,STnc2010,STnc2030,STnc2040,STnc2050,STnc2070,STnc2080,STnc2090,STnc2100,STnc2110,STnc2130,STnc2160,STnc2170,STnc2180,STnc290,STnc3000,STnc3010,STnc3020,STnc3030,STnc3040,STnc3050,STnc3060,STnc3070,STnc3080,STnc3090,STnc310,STnc3100,STnc3110,STnc3120,STnc3130,STnc3140,STnc3150,STnc3160,STnc3170,STnc3180,STnc3200,STnc3210,STnc3220,STnc3230,STnc3240,STnc3250,STnc3270,STnc3280,STnc3290,STnc3300,STnc3310,STnc3330,STnc3340,STnc3350,STnc3390,STnc340,STnc3400,STnc3410,STnc3420,STnc3430,STnc3440,STnc3460,STnc3480,STnc3490,STnc350,STnc3500,STnc3510,STnc3530,STnc3540,STnc3550,STnc3570,STnc3580,STnc3600,STnc3610,STnc3620,STnc3630,STnc3640,STnc3680,STnc3700,STnc3720,STnc3730,STnc3740,STnc3750,STnc3760,STnc3770,STnc3790,STnc380,STnc3800,STnc3830,STnc3850,STnc3860,STnc3870,STnc3880,STnc3890,STnc3920,STnc3950,STnc3960,STnc3970,STnc3990,STnc400,STnc4000,STnc4010,STnc4020,STnc4040,STnc4070,STnc4080,STnc4100,STnc4110,STnc4120,STnc4130,STnc4140,STnc4150,STnc4160,STnc4170,STnc4180,STnc4190,STnc4200,STnc4210,STnc4220,STnc4230,STnc4240,STnc4250,STnc4260,STnc440,STnc470,STnc480,STnc490,STnc500,STnc520,STnc540,STnc630,STnc700,STnc710,STnc740,STnc750,STnc760,STnc770,STnc780,STnc790,STnc800,STnc810,STnc840,STnc850,STnc870,STnc880,STnc890,STnc920,STnc930,STnc950,STnc980,t44,tp2,tpke11,tpke70
CP001120,100,100,97,100,100,100,100,100,99,99,100,100,100,100,94,NA,NA,100,100,NA,100,97,72,NA,NA,100,100,100,100,100,98,100,100,99,100,100,100,100,99,99,97,100,100,100,100,100,96,99,100,100,99,98,100,100,100,100,99,100,100,99,99,100,100,100,100,100,100,100,100,99,100,100,97,81,100,100,100,NA,99,99,99,99,NA,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,NA,92,NA,100,99,98,100,100,100,99,100,82,99,100,99,99,100,100,100,99,99,100,100,100,100,NA,98,99,100,96,100,100,100,NA,99,99,100,100,100,100,100,NA,100,98,98,99,NA,100,100,NA,100,100,100,98,100,99,NA,100,99,98,100,100,97,84,100,98,98,100,NA,99,100,100,100,95,99,98,100,100,100,100,99,100,100,100,100,94,97,98,100,100,100,97,98,99,99,99,100,99,98,97,100,100,100,100,100,100,100,99,100,100,99,95,97,98,89,100,100,NA,100,98,100,99,99,100,99,99,98,100,99,NA,100,100,98,100,100,100,100,94,98,100,100,100,99,99,100,99,100,93,100,100,100,99,99,100,99,98,100,100,100,100,100,100,95,99,99,100,100,100,97,99,100,100,97,100,100,98,100,100,100,99,100,100,100,99
CP001127,98,100,96,100,100,100,100,100,99,100,100,99,100,100,NA,100,100,NA,98,NA,NA,96,70,97,NA,99,NA,NA,98,95,96,100,100,100,100,100,100,100,100,99,98,100,100,98,100,100,99,100,100,99,99,94,99,99,100,99,99,100,100,99,99,100,100,100,99,100,99,100,100,98,100,100,100,100,99,100,95,100,99,100,95,99,NA,99,99,100,100,97,100,NA,NA,81,NA,98,99,100,91,NA,NA,99,98,98,100,NA,94,93,97,NA,99,97,99,99,71,97,100,99,100,100,100,98,99,NA,97,86,100,94,98,99,100,NA,100,100,100,100,100,NA,100,NA,100,98,96,99,NA,100,100,99,100,96,100,97,100,98,NA,95,95,98,95,99,96,99,92,99,98,99,NA,92,96,99,100,98,98,98,NA,92,99,NA,98,98,97,99,100,91,93,98,99,99,100,97,97,98,99,98,88,100,99,96,100,96,NA,98,99,97,NA,NA,98,99,99,99,97,97,98,100,87,NA,100,98,100,98,92,95,NA,NA,98,100,99,NA,99,86,98,99,NA,100,NA,98,84,NA,NA,98,99,97,99,98,NA,97,100,99,100,100,100,100,98,NA,NA,100,98,96,100,100,95,NA,NA,96,100,100,98,98,100,100,100,100,100,97,100,100,100,99,100,99,100,100
CP001138,98,100,97,100,100,100,100,100,99,100,100,99,100,100,86,NA,NA,98,100,NA,NA,98,NA,NA,NA,99,NA,99,100,98,98,100,100,99,99,100,100,100,100,99,100,100,100,100,100,100,100,100,96,97,99,95,100,100,100,100,99,100,100,90,99,100,100,100,100,100,100,98,100,99,100,100,100,100,99,100,95,NA,99,99,99,97,NA,100,99,NA,100,97,100,NA,NA,NA,NA,98,100,100,92,NA,NA,98,98,98,100,NA,57,92,98,86,99,97,99,99,96,96,100,99,100,99,100,99,NA,99,98,71,100,98,93,99,100,NA,99,100,100,100,100,98,98,NA,100,100,98,99,100,100,100,100,100,96,100,95,100,99,NA,100,97,98,98,99,97,84,95,97,98,99,NA,92,96,99,99,93,100,99,97,100,100,NA,100,100,100,99,100,100,97,100,99,100,100,97,97,93,100,99,99,100,98,96,99,94,97,97,98,100,NA,97,99,100,99,97,97,97,NA,99,99,NA,100,98,98,78,94,98,98,98,96,100,98,NA,98,95,97,99,98,98,99,95,85,NA,99,98,98,95,100,100,NA,92,100,100,100,100,100,100,98,98,NA,NA,100,99,100,100,95,99,99,100,100,99,98,99,100,100,97,100,100,98,100,100,100,99,100,99,100,99
CP001144,99,100,97,100,100,100,100,100,99,100,100,99,100,100,85,NA,NA,100,98,98,99,98,NA,NA,NA,100,NA,100,100,100,99,100,100,99,100,99,100,98,100,99,98,100,100,100,100,100,96,100,99,94,98,98,99,100,100,100,99,100,100,94,100,100,99,100,100,99,99,100,100,99,100,100,100,100,100,100,95,100,100,99,99,98,NA,100,99,100,98,99,100,100,64,99,NA,100,100,100,92,NA,99,100,97,99,100,NA,NA,99,98,99,99,100,99,100,98,100,99,99,100,99,99,99,100,NA,98,99,100,96,90,100,100,NA,100,100,100,100,98,100,100,NA,99,98,98,99,NA,100,100,100,100,100,100,100,100,98,100,100,96,98,95,97,96,100,98,96,98,98,NA,99,100,100,100,95,98,99,100,99,100,NA,100,100,100,98,100,93,97,100,98,99,98,99,98,NA,99,99,100,99,100,98,99,99,98,98,100,99,100,100,100,100,100,96,97,98,89,99,100,NA,100,98,100,99,94,98,98,NA,96,100,98,NA,97,98,98,98,100,94,NA,98,97,NA,NA,99,99,89,100,100,100,100,100,99,100,99,100,100,NA,98,99,100,99,100,100,100,98,NA,99,100,100,100,99,98,100,100,100,100,100,98,100,100,100,99,99,99,100,99
CP001363,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP002099,99,100,97,100,99,100,100,100,99,97,100,99,100,100,NA,NA,NA,NA,100,NA,98,97,NA,NA,NA,99,NA,NA,98,99,97,100,100,100,99,99,100,100,98,99,97,100,100,98,100,100,99,99,97,100,98,95,100,100,100,100,99,100,100,97,98,100,99,100,100,99,100,100,100,98,100,100,97,100,98,100,98,100,99,99,98,99,NA,99,99,NA,100,94,100,NA,62,NA,NA,98,100,100,NA,NA,NA,100,97,98,100,97,93,94,99,NA,100,98,100,100,99,97,100,99,100,100,99,95,NA,NA,98,85,100,96,93,100,100,NA,99,100,98,100,100,NA,97,NA,100,97,96,99,NA,100,100,99,100,95,100,95,100,100,NA,98,98,98,93,97,96,98,96,97,94,98,NA,89,100,99,98,94,98,98,NA,99,99,100,99,100,97,97,100,93,95,98,96,100,100,97,98,100,100,99,100,NA,64,95,100,95,98,97,99,100,94,NA,98,100,99,97,99,94,NA,99,97,NA,98,98,100,84,94,93,NA,NA,99,100,99,NA,97,88,99,98,NA,94,NA,94,98,99,NA,98,99,98,99,100,99,93,100,100,99,100,100,100,99,100,100,100,99,100,100,99,100,99,NA,100,75,100,93,98,100,100,100,100,99,95,100,99,98,99,100,99,100,99
CP002487,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP002614,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,93,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP003047,99,99,96,100,100,100,100,100,99,99,100,99,100,100,86,NA,NA,100,98,98,99,98,NA,NA,NA,100,NA,100,100,100,99,100,100,100,100,100,100,100,100,99,97,100,100,99,100,100,96,100,99,95,98,98,98,100,100,99,99,100,100,92,100,100,99,100,100,99,99,100,100,99,100,100,100,100,100,100,95,NA,100,99,98,98,NA,100,98,100,100,99,99,NA,NA,NA,NA,100,100,100,92,NA,NA,100,97,99,99,NA,NA,99,98,97,99,99,100,100,98,99,99,99,100,100,100,99,100,NA,98,99,100,96,99,100,100,NA,100,100,99,100,98,100,100,NA,99,95,98,100,NA,100,100,NA,100,97,100,100,100,98,100,100,97,100,95,98,97,99,98,96,98,98,NA,100,100,100,99,95,98,99,100,99,100,NA,100,100,100,97,100,93,97,100,97,99,97,99,98,100,99,99,100,99,100,97,100,99,98,98,100,100,96,100,100,100,100,95,97,98,89,99,100,NA,99,98,100,98,98,99,97,NA,96,100,98,NA,100,100,97,98,100,95,NA,94,97,NA,NA,97,100,100,100,100,NA,100,99,99,100,99,100,99,99,98,100,100,99,99,100,99,98,NA,99,100,100,100,99,98,100,100,100,100,100,98,100,100,100,99,100,99,100,99
CP003278,99,100,97,100,99,100,100,100,99,97,100,99,100,100,NA,NA,NA,NA,100,NA,99,97,NA,NA,NA,99,NA,NA,98,99,97,100,100,100,99,100,100,100,100,99,97,100,100,98,100,100,99,99,97,100,99,95,100,100,100,100,99,100,100,97,99,100,99,100,100,99,100,100,100,98,100,100,97,100,99,100,98,100,99,99,98,99,NA,99,99,NA,100,94,100,NA,NA,NA,NA,98,100,100,NA,NA,NA,100,98,98,100,97,93,94,99,NA,100,98,100,100,99,97,100,99,100,100,99,95,NA,NA,98,86,100,96,93,100,100,NA,99,100,98,100,100,NA,97,NA,100,97,96,99,NA,100,100,99,100,95,100,95,100,100,NA,98,98,98,93,97,96,98,98,97,94,98,NA,89,100,99,98,94,99,98,NA,99,99,100,99,100,97,97,100,93,95,98,96,100,100,97,98,100,100,99,100,NA,64,95,100,95,98,97,99,100,94,NA,98,100,99,97,99,94,NA,99,97,NA,98,98,100,84,94,93,NA,NA,99,100,99,NA,97,88,99,98,NA,94,NA,94,98,99,NA,98,99,98,99,100,99,93,100,100,99,100,100,100,99,100,100,100,99,100,100,99,100,99,NA,100,75,100,93,98,100,100,100,100,100,95,100,99,98,99,100,99,100,99
CP003386,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,92,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP003416,100,100,97,100,100,100,100,100,99,99,100,100,100,100,94,NA,NA,100,100,NA,100,97,72,NA,NA,100,100,100,100,100,98,100,100,99,100,100,100,100,99,99,97,100,100,100,100,100,96,99,100,100,99,98,100,100,100,100,99,98,100,99,99,100,100,100,100,100,100,100,100,99,100,100,97,81,100,100,100,NA,99,99,99,99,NA,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,NA,92,NA,100,99,98,100,100,100,98,100,82,99,100,99,99,100,100,100,99,99,100,100,100,100,NA,98,99,100,96,100,100,100,NA,99,99,100,100,100,100,,NA,100,98,98,99,NA,100,100,NA,89,100,100,98,100,99,NA,100,99,98,NA,100,97,84,100,98,98,100,NA,99,100,100,100,95,99,98,100,100,100,100,99,97,100,100,100,94,97,98,100,100,100,97,98,99,99,99,100,99,98,97,100,100,100,100,100,100,99,99,100,100,99,95,97,98,89,100,100,NA,100,98,100,99,99,100,99,99,98,100,99,NA,100,100,98,100,100,100,100,94,98,100,100,100,99,99,100,99,100,93,100,100,100,99,99,100,99,98,100,100,100,100,100,100,95,98,99,100,100,100,97,99,100,100,97,100,100,98,100,100,100,99,100,100,100,99
CP003786,99,100,95,100,100,100,100,100,99,99,100,99,100,100,86,NA,NA,100,98,98,99,98,NA,NA,NA,100,NA,100,100,100,99,100,100,100,100,100,100,100,100,99,97,100,100,99,100,100,96,100,99,95,98,98,98,100,100,99,99,100,100,92,100,100,99,100,100,99,99,100,100,99,100,100,100,100,100,100,95,NA,100,99,98,98,NA,100,98,100,100,99,99,NA,NA,NA,NA,100,100,100,92,NA,NA,100,97,99,99,NA,NA,99,98,97,99,99,100,100,98,100,99,99,100,100,99,99,100,NA,98,99,100,96,99,100,100,NA,100,100,99,100,98,100,100,NA,99,98,98,100,NA,100,100,NA,100,97,100,100,100,98,100,100,97,100,95,98,97,99,98,96,98,98,NA,100,100,100,99,95,98,99,100,99,100,NA,100,100,100,97,100,93,97,100,97,99,97,99,98,100,99,99,100,99,100,97,100,99,98,98,100,100,96,100,100,100,100,95,97,98,89,99,100,NA,99,98,100,98,98,99,97,NA,96,100,98,NA,100,100,98,98,100,95,NA,94,97,NA,NA,97,100,100,100,100,NA,100,99,99,100,99,100,99,99,98,100,100,99,99,100,99,98,NA,99,100,100,100,99,98,100,100,100,100,100,98,100,100,100,99,100,99,100,99
CP003836,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,99,100,99,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,100,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP004027,98,100,96,100,100,100,100,100,99,100,100,99,100,100,NA,NA,NA,NA,98,NA,NA,98,NA,NA,NA,99,NA,NA,98,100,97,100,100,100,100,100,100,100,100,99,98,100,100,100,100,100,100,100,99,99,98,94,100,100,100,100,99,100,100,98,99,100,100,100,99,100,99,100,100,97,100,100,100,80,99,100,95,NA,99,100,99,99,NA,100,99,100,100,97,100,NA,60,NA,NA,98,99,100,NA,92,NA,99,97,98,99,NA,NA,91,98,NA,99,99,99,98,71,97,99,99,99,100,100,97,100,NA,98,97,100,96,100,99,100,NA,99,100,100,100,100,98,100,NA,100,98,98,99,NA,100,100,100,100,96,100,97,100,98,100,95,94,96,97,99,97,99,95,98,98,99,NA,92,100,100,100,97,99,97,NA,92,99,100,98,98,97,99,100,91,93,98,99,99,100,98,97,98,99,99,98,99,99,98,99,96,NA,98,99,99,NA,NA,98,99,99,99,97,93,NA,100,87,NA,100,98,100,98,94,95,98,NA,98,100,99,NA,97,99,98,98,98,100,NA,97,84,NA,96,98,96,97,100,98,NA,97,100,90,100,100,100,100,98,NA,99,100,98,99,99,100,95,NA,NA,99,99,100,98,98,100,100,100,100,100,95,100,100,100,99,100,NA,100,100
CP004086,100,100,97,100,100,100,100,100,99,99,100,100,100,100,94,NA,NA,100,100,NA,100,97,72,NA,NA,100,100,100,100,100,98,100,100,99,99,100,100,100,99,99,97,100,100,100,100,100,96,99,100,100,99,98,100,100,100,100,99,100,100,99,99,100,100,100,100,100,100,100,100,99,100,100,97,81,100,100,100,NA,99,99,99,99,NA,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,NA,92,NA,100,99,98,100,100,100,99,100,82,99,100,99,99,100,100,100,99,99,100,100,100,100,NA,98,99,100,96,100,100,100,NA,99,99,100,100,100,100,100,NA,100,98,98,99,NA,100,100,NA,100,100,100,98,100,99,NA,100,99,98,100,100,97,84,100,98,98,100,NA,99,100,100,100,95,99,98,100,100,100,100,99,100,100,100,100,94,97,98,100,100,100,97,98,99,99,99,100,99,98,97,100,100,100,100,100,100,100,99,100,100,99,95,97,98,89,100,100,NA,100,98,100,99,99,100,99,99,98,100,99,NA,100,100,98,100,100,100,100,94,98,100,100,100,99,99,100,99,100,93,100,100,100,99,99,100,99,98,100,100,100,100,100,100,95,99,99,100,100,100,97,99,100,100,97,100,100,98,100,100,100,99,100,100,100,99
CP005390,100,100,97,100,100,100,100,100,99,99,100,100,100,100,94,NA,NA,100,100,NA,100,97,72,NA,NA,100,100,100,100,100,98,100,100,99,100,100,100,100,99,99,97,100,100,100,100,100,96,99,100,100,99,98,100,100,100,100,99,100,100,99,99,100,100,100,100,100,100,100,100,99,100,100,97,81,100,100,100,NA,99,99,99,99,NA,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,NA,92,NA,100,99,98,100,100,100,99,100,82,99,100,99,99,100,100,100,99,99,100,100,100,100,NA,98,99,100,96,100,100,100,NA,99,99,100,100,100,100,100,NA,100,98,98,99,NA,100,100,NA,100,100,100,98,100,99,NA,100,99,98,100,100,97,84,100,98,98,100,NA,99,100,100,100,95,99,98,100,100,100,100,99,100,100,100,100,94,97,98,100,100,100,97,98,99,99,99,100,99,98,97,100,100,100,100,100,100,100,99,100,100,99,95,97,98,89,100,100,NA,100,98,100,99,99,100,99,99,98,100,99,NA,100,100,98,100,100,100,100,94,98,100,100,100,99,99,100,99,100,93,100,100,100,99,99,100,99,98,100,100,100,100,100,100,95,99,99,100,100,100,97,99,100,100,97,100,100,98,100,100,100,99,100,100,100,99
CP005995,100,100,97,100,100,100,100,100,99,99,100,100,100,100,94,NA,NA,100,100,NA,100,97,72,NA,NA,100,100,100,100,100,98,100,100,99,100,100,100,100,99,99,97,100,100,100,100,100,96,99,100,100,99,98,100,100,100,100,99,100,100,99,99,100,100,100,100,100,100,100,100,99,100,100,97,81,100,100,100,NA,99,99,99,99,NA,100,99,100,100,100,100,NA,NA,NA,NA,100,100,100,NA,92,NA,100,99,98,100,100,100,99,100,82,99,100,99,99,100,100,100,99,99,100,100,100,100,NA,98,99,100,96,100,100,100,NA,99,99,100,100,100,100,100,NA,100,98,98,99,NA,100,100,NA,100,100,100,98,100,99,NA,100,99,98,100,100,97,84,100,98,98,100,NA,99,100,100,100,95,99,98,100,100,100,100,99,100,100,100,100,94,97,98,100,100,100,97,98,99,99,99,100,99,98,97,100,100,100,100,100,100,100,99,100,100,99,95,97,98,89,100,100,NA,100,98,100,99,99,100,99,99,98,100,99,NA,100,100,98,100,100,100,100,94,98,100,100,100,99,99,100,99,100,93,100,100,100,99,99,100,99,98,100,100,100,100,100,100,95,99,99,100,100,100,97,99,100,100,97,100,100,98,100,100,100,99,100,100,100,99
CP006048,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,96,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,99,100,NA,100,99,100,100,100,100,97,100,100,NA,100,100,100,NA,NA,NA,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,98,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,NA,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100
CP006053,99,100,94,100,100,100,100,100,99,99,100,99,100,100,NA,NA,NA,100,100,NA,99,98,NA,NA,NA,100,NA,NA,98,100,98,100,100,100,100,100,100,100,100,99,97,99,100,99,100,100,100,100,100,100,99,98,100,100,100,100,99,100,100,91,99,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,100,NA,100,99,99,97,NA,100,99,100,100,94,100,NA,62,NA,NA,NA,100,100,92,NA,NA,100,98,96,100,NA,56,100,98,94,100,99,100,100,98,100,100,99,100,100,100,98,100,100,98,99,100,96,93,100,100,100,99,100,99,100,98,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,98,100,98,100,100,99,98,98,99,97,98,95,100,98,98,NA,98,100,99,99,96,100,99,100,100,99,100,100,100,100,98,100,94,100,100,97,100,98,97,98,99,99,99,100,100,98,98,100,100,97,97,100,100,96,100,100,100,100,99,97,98,100,99,98,NA,97,99,100,99,95,98,98,99,97,100,98,NA,97,90,98,98,100,98,NA,97,100,NA,100,97,99,99,98,100,100,93,99,100,100,99,97,100,99,100,NA,100,100,99,100,100,88,99,99,99,100,97,99,99,100,100,100,100,100,97,100,100,100,99,100,99,100,99
CP006055,98,100,97,100,100,100,100,100,99,100,100,99,100,100,95,100,100,98,100,NA,NA,98,98,100,NA,100,NA,NA,98,99,96,99,100,100,100,100,100,100,100,99,98,100,100,100,99,100,97,100,96,97,99,96,99,100,100,99,99,100,100,99,99,100,100,100,100,99,99,100,98,99,100,100,97,81,99,100,95,100,100,99,98,97,NA,100,99,NA,100,94,99,NA,NA,NA,NA,NA,99,100,NA,NA,NA,99,98,98,100,NA,57,92,98,87,99,97,99,98,97,97,99,99,100,100,100,98,NA,98,98,70,100,95,96,100,100,99,99,100,100,100,100,NA,98,100,100,98,96,99,100,100,100,100,100,97,100,100,100,99,100,100,97,98,98,99,95,84,98,99,100,98,NA,92,96,100,98,94,99,99,100,99,99,NA,99,98,100,98,100,100,97,99,98,100,100,95,98,98,100,100,88,100,99,97,100,94,98,98,99,99,NA,99,99,100,98,97,100,98,NA,100,98,NA,100,98,99,70,97,98,97,98,97,100,99,NA,97,95,98,98,100,99,97,95,99,NA,99,99,98,99,99,100,99,92,100,98,100,100,99,100,98,100,NA,NA,100,99,100,100,95,NA,98,99,99,99,98,99,100,100,100,100,100,98,100,100,100,99,100,NA,99,100
